EXCH,Scrip,Call/Put,Exp Date,STK,BF Qty,Buy Qty,Buy Avg,Sale Qty,Sale Avg,Net Qty,MTM,Avg Rate,LTP,Today Net,Today Avg
FO,KPITTECH,CE,27-02-2025,1440.0,-2000,0,0.0,0,0.0,-2000,200.0,4.05,3.95,0,0.0
FO,KPITTECH,PE,27-02-2025,1440.0,2000,0,0.0,0,0.0,2000,-6900.0,130.2,126.75,0,0.0
FO,MANAPPURAM,FF,27-02-2025,0.0,60000,0,0.0,0,0.0,60000,-210000.0,192.88,189.38,0,0.0
FO,MANAPPURAM,CE,27-02-2025,190.0,-9000,0,0.0,0,0.0,-9000,19800.0,9.1,6.9,0,0.0
FO,MANAPPURAM,PE,27-02-2025,190.0,9000,0,0.0,0,0.0,9000,9900.0,6.3,7.4,0,0.0
FO,MANAPPURAM,CE,27-02-2025,210.0,-51000,0,0.0,0,0.0,-51000,22950.0,2.1,1.65,0,0.0
FO,MANAPPURAM,PE,27-02-2025,210.0,51000,0,0.0,0,0.0,51000,188700.0,19.3,23.0,0,0.0
FO,MARUTI,CE,27-02-2025,13100.0,100,0,0.0,0,0.0,100,-5.0,35.55,35.5,0,0.0
FO,MARUTI,PE,27-02-2025,13100.0,-100,0,0.0,0,0.0,-100,585.0,358.35,352.5,0,0.0
FO,MARUTI,FF,27-02-2025,0.0,-100,0,0.0,0,0.0,-100,-65.0,12783.0,12783.65,0,0.0
FO,MOTHERSON,FF,27-02-2025,0.0,14200,0,0.0,0,0.0,14200,39902.0,125.27,128.08,0,0.0
FO,MOTHERSON,CE,27-02-2025,135.0,-3550,0,0.0,0,0.0,-3550,-710.0,0.85,1.05,0,0.0
FO,MOTHERSON,PE,27-02-2025,135.0,3550,0,0.0,0,0.0,3550,-7810.0,10.3,8.1,0,0.0
FO,MOTHERSON,CE,27-02-2025,145.0,-10650,0,0.0,0,0.0,-10650,0.0,0.25,0.25,0,0.0
FO,MOTHERSON,PE,27-02-2025,145.0,10650,0,0.0,0,0.0,10650,-35677.5,19.95,16.6,0,0.0
FO,NCC,CE,27-02-2025,200.0,-12425,0,0.0,0,0.0,-12425,18637.5,2.9,1.4,0,0.0
FO,NCC,PE,27-02-2025,200.0,12425,0,0.0,0,0.0,12425,43487.5,11.5,15.0,0,0.0
FO,NCC,CE,27-02-2025,220.0,-5325,0,0.0,0,0.0,-5325,1331.25,0.6,0.35,0,0.0
FO,NCC,PE,27-02-2025,220.0,5325,0,0.0,0,0.0,5325,28488.75,29.65,35.0,0,0.0
FO,NCC,CE,27-02-2025,240.0,-1775,0,0.0,0,0.0,-1775,177.5,0.25,0.15,0,0.0
FO,NCC,PE,27-02-2025,240.0,1775,0,0.0,0,0.0,1775,9496.25,48.8,54.15,0,0.0
FO,NCC,FF,27-02-2025,0.0,28400,0,0.0,0,0.0,28400,-167560.0,191.4,185.5,0,0.0
FO,NCC,CE,27-02-2025,210.0,-8875,0,0.0,0,0.0,-8875,4881.25,1.2,0.65,0,0.0
FO,NCC,PE,27-02-2025,210.0,8875,0,0.0,0,0.0,8875,35943.75,20.1,24.15,0,0.0
FO,NMDC,CE,27-02-2025,66.0,-108000,0,0.0,0,0.0,-108000,5400.0,0.6,0.55,0,0.0
FO,NMDC,PE,27-02-2025,66.0,108000,0,0.0,0,0.0,108000,-54000.0,3.9,3.4,0,0.0
FO,NMDC,CE,27-02-2025,67.0,-67500,0,0.0,0,0.0,-67500,3375.0,0.45,0.4,0,0.0
FO,NMDC,PE,27-02-2025,67.0,67500,0,0.0,0,0.0,67500,27000.0,4.65,5.05,0,0.0
FO,NMDC,CE,27-02-2025,68.0,-121500,0,0.0,0,0.0,-121500,0.0,0.3,0.3,0,0.0
FO,NMDC,PE,27-02-2025,68.0,121500,0,0.0,0,0.0,121500,-42525.0,5.5,5.15,0,0.0
FO,NMDC,FF,27-02-2025,0.0,958500,0,0.0,0,0.0,958500,277965.0,62.71,63.0,0,0.0
FO,NMDC,CE,27-02-2025,60.0,-13500,0,0.0,0,0.0,-13500,-2025.0,3.45,3.6,0,0.0
FO,NMDC,PE,27-02-2025,60.0,13500,0,0.0,0,0.0,13500,-1350.0,0.7,0.6,0,0.0
FO,NMDC,CE,27-02-2025,70.0,-567000,0,0.0,0,0.0,-567000,28350.0,0.2,0.15,0,0.0
FO,NMDC,PE,27-02-2025,70.0,567000,0,0.0,0,0.0,567000,-141750.0,7.4,7.15,0,0.0
FO,NMDC,CE,27-02-2025,65.0,-81000,0,0.0,0,0.0,-81000,4050.0,0.8,0.75,0,0.0
FO,NMDC,PE,27-02-2025,65.0,81000,0,0.0,0,0.0,81000,-24300.0,3.05,2.75,0,0.0
FO,PEL,CE,27-02-2025,1000.0,-750,0,0.0,0,0.0,-750,975.0,4.95,3.65,0,0.0
FO,PEL,PE,27-02-2025,1000.0,750,0,0.0,0,0.0,750,2587.5,77.2,80.65,0,0.0
FO,PEL,FF,27-02-2025,0.0,750,0,0.0,0,0.0,750,-6712.5,928.35,919.4,0,0.0
FO,PNB,FF,27-02-2025,0.0,1856000,0,0.0,0,0.0,1856000,-2635520.0,93.36,91.94,0,0.0
FO,PNB,CE,27-02-2025,95.0,-152000,0,0.0,0,0.0,-152000,83600.0,1.4,0.85,0,0.0
